Infinitive,вы́жить
Zaliznyak Class,16a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́живший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́житый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́жив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́живши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́живу
2nd Sing,вы́живешь
3rd Sing,вы́живет
1st Pl,вы́живем
2nd Pl,вы́живете
3rd Pl,вы́живут
Past M,вы́жил
Past F,вы́жила
Past N,вы́жило
Past PL,вы́жили
Imp S,вы́живи
Imp PL,вы́живите
