Infinitive,вы́катить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́кативший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́каченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́катив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́кативши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́качу
2nd Sing,вы́катишь
3rd Sing,вы́катит
1st Pl,вы́катим
2nd Pl,вы́катите
3rd Pl,вы́катят
Past M,вы́катил
Past F,вы́катила
Past N,вы́катило
Past PL,вы́катили
Imp S,вы́кати
Imp PL,вы́катите
