Infinitive,выкри́кивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,выкри́кивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выкри́кивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выкри́киваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выкри́кивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,выкри́кивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,выкри́кивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,выкри́киваю
2nd Sing,выкри́киваешь
3rd Sing,выкри́кивает
1st Pl,выкри́киваем
2nd Pl,выкри́киваете
3rd Pl,выкри́кивают
Past M,выкри́кивал
Past F,выкри́кивала
Past N,выкри́кивало
Past PL,выкри́кивали
Imp S,выкри́кивай
Imp PL,выкри́кивайте
