Infinitive,вы́копать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́копавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́копанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́копав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́копавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́копаю
2nd Sing,вы́копаешь
3rd Sing,вы́копает
1st Pl,вы́копаем
2nd Pl,вы́копаете
3rd Pl,вы́копают
Past M,вы́копал
Past F,вы́копала
Past N,вы́копало
Past PL,вы́копали
Imp S,вы́копай
Imp PL,вы́копайте
