Infinitive,а́хнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,а́хнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,а́хнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,а́хнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,а́хнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,а́хну
2nd Sing,а́хнешь
3rd Sing,а́хнет
1st Pl,а́хнем
2nd Pl,а́хнете
3rd Pl,а́хнут
Past M,а́хнул
Past F,а́хнула
Past N,а́хнуло
Past PL,а́хнули
Imp S,а́хни
Imp PL,а́хните
