Infinitive,а́хать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,а́хающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,а́хавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,а́хая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,а́хав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,а́хавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,а́хаю
2nd Sing,а́хаешь
3rd Sing,а́хает
1st Pl,а́хаем
2nd Pl,а́хаете
3rd Pl,а́хают
Past M,а́хал
Past F,а́хала
Past N,а́хало
Past PL,а́хали
Imp S,а́хай
Imp PL,а́хайте
