Infinitive,сэконо́мить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сэконо́мивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сэконо́мленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сэконо́мив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сэконо́мивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сэконо́млю
2nd Sing,сэконо́мишь
3rd Sing,сэконо́мит
1st Pl,сэконо́мим
2nd Pl,сэконо́мите
3rd Pl,сэконо́мят
Past M,сэконо́мил
Past F,сэконо́мила
Past N,сэконо́мило
Past PL,сэконо́мили
Imp S,сэконо́мь
Imp PL,сэконо́мьте
