Infinitive,вва́ливаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вва́ливающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вва́ливавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вва́ливаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вва́ливавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вва́ливаюсь
2nd Sing,вва́ливаешься
3rd Sing,вва́ливается
1st Pl,вва́ливаемся
2nd Pl,вва́ливаетесь
3rd Pl,вва́ливаются
Past M,вва́ливался
Past F,вва́ливалась
Past N,вва́ливалось
Past PL,вва́ливались
Imp S,вва́ливайся
Imp PL,вва́ливайтесь
