Infinitive,ввяза́ться
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ввяза́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ввяза́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,ввяжу́сь
2nd Sing,ввя́жешься
3rd Sing,ввя́жется
1st Pl,ввя́жемся
2nd Pl,ввя́жетесь
3rd Pl,ввя́жутся
Past M,ввяза́лся
Past F,ввяза́лась
Past N,ввяза́лось
Past PL,ввяза́лись
Imp S,ввяжи́сь
Imp PL,ввяжи́тесь
