Infinitive,вве́ргнуть
Zaliznyak Class,3°a[⑤⑥]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вве́ргший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,вве́ргнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вве́ргнутый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,вве́ргнув
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,вве́ргши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,вве́ргну
2nd Sing,вве́ргнешь
3rd Sing,вве́ргнет
1st Pl,вве́ргнем
2nd Pl,вве́ргнете
3rd Pl,вве́ргнут
Past M,вве́рг
Past F,вве́ргла
Past N,вве́ргло
Past PL,вве́ргли
Imp S,вве́ргни
Imp PL,вве́ргните
