Infinitive,пну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пну́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пну́
2nd Sing,пнёшь
3rd Sing,пнёт
1st Pl,пнём
2nd Pl,пнёте
3rd Pl,пну́т
Past M,пну́л
Past F,пну́ла
Past N,пну́ло
Past PL,пну́ли
Imp S,пни́
Imp PL,пни́те
