Infinitive,"пузыри́ться, пузы́риться"
Zaliznyak Class,4b // 4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пузыря́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,short
PART:1:Participle Text,пузы́рящийся
PART:1:Participle Type,active
PART:1:Participle Tense,present
PART:1:Participle Long or Short,long
PART:2:Participle Text,пузыри́вшийся
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пузы́рившийся
PART:3:Participle Type,active
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,пузыря́сь
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,short
PART:5:Participle Text,пузы́рясь
PART:5:Participle Type,adverbial
PART:5:Participle Tense,present
PART:5:Participle Long or Short,long
PART:6:Participle Text,пузыри́вшись
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,short
PART:7:Participle Text,пузы́рившись
PART:7:Participle Type,adverbial
PART:7:Participle Tense,past
PART:7:Participle Long or Short,long
1st Sing,пузырю́сь
2nd Sing,пузыри́шься
3rd Sing,пузыри́тся
1st Pl,пузыри́мся
2nd Pl,пузыри́тесь
3rd Pl,пузыря́тся
Past M,пузыри́лся
Past F,пузыри́лась
Past N,пузыри́лось
Past PL,пузыри́лись
Imp S,пузыри́сь
Imp PL,пузыри́тесь
