Infinitive,пустова́ть
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пусту́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пустова́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пусту́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пустова́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пустова́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пусту́ю
2nd Sing,пусту́ешь
3rd Sing,пусту́ет
1st Pl,пусту́ем
2nd Pl,пусту́ете
3rd Pl,пусту́ют
Past M,пустова́л
Past F,пустова́ла
Past N,пустова́ло
Past PL,пустова́ли
Imp S,пусту́й
Imp PL,пусту́йте
