Infinitive,пульси́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пульси́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пульси́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пульси́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пульси́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пульси́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пульси́рую
2nd Sing,пульси́руешь
3rd Sing,пульси́рует
1st Pl,пульси́руем
2nd Pl,пульси́руете
3rd Pl,пульси́руют
Past M,пульси́ровал
Past F,пульси́ровала
Past N,пульси́ровало
Past PL,пульси́ровали
Imp S,пульси́руй
Imp PL,пульси́руйте
