Infinitive,пусти́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пусти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пу́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пусти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пусти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пущу́
2nd Sing,пу́стишь
3rd Sing,пу́стит
1st Pl,пу́стим
2nd Pl,пу́стите
3rd Pl,пу́стят
Past M,пусти́л
Past F,пусти́ла
Past N,пусти́ло
Past PL,пусти́ли
Imp S,пусти́
Imp PL,пусти́те
