Infinitive,пугну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пугну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пугну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пугну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пугну́
2nd Sing,пугнёшь
3rd Sing,пугнёт
1st Pl,пугнём
2nd Pl,пугнёте
3rd Pl,пугну́т
Past M,пугну́л
Past F,пугну́ла
Past N,пугну́ло
Past PL,пугну́ли
Imp S,пугни́
Imp PL,пугни́те
