Infinitive,пуска́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пуска́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пуска́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пуска́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пуска́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пуска́юсь
2nd Sing,пуска́ешься
3rd Sing,пуска́ется
1st Pl,пуска́емся
2nd Pl,пуска́етесь
3rd Pl,пуска́ются
Past M,пуска́лся
Past F,пуска́лась
Past N,пуска́лось
Past PL,пуска́лись
Imp S,пуска́йся
Imp PL,пуска́йтесь
