Infinitive,публикова́ться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,публику́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,публикова́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,публику́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,публикова́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,публику́юсь
2nd Sing,публику́ешься
3rd Sing,публику́ется
1st Pl,публику́емся
2nd Pl,публику́етесь
3rd Pl,публику́ются
Past M,публикова́лся
Past F,публикова́лась
Past N,публикова́лось
Past PL,публикова́лись
Imp S,публику́йся
Imp PL,публику́йтесь
