Infinitive,пу́хнуть
Zaliznyak Class,3°a[⑤⑥]
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пу́хнущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пу́хший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пу́хнувший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,пу́хнув
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пу́хши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пу́хну
2nd Sing,пу́хнешь
3rd Sing,пу́хнет
1st Pl,пу́хнем
2nd Pl,пу́хнете
3rd Pl,пу́хнут
Past M,пу́х
Past F,пу́хла
Past N,пу́хло
Past PL,пу́хли
Imp S,пу́хни
Imp PL,пу́хните
