Infinitive,пу́таться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пу́тающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пу́тавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пу́таясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пу́тавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пу́таюсь
2nd Sing,пу́таешься
3rd Sing,пу́тается
1st Pl,пу́таемся
2nd Pl,пу́таетесь
3rd Pl,пу́таются
Past M,пу́тался
Past F,пу́талась
Past N,пу́талось
Past PL,пу́тались
Imp S,пу́тайся
Imp PL,пу́тайтесь
