Infinitive,путеше́ствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,путеше́ствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,путеше́ствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,путеше́ствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,путеше́ствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,путеше́ствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,путеше́ствую
2nd Sing,путеше́ствуешь
3rd Sing,путеше́ствует
1st Pl,путеше́ствуем
2nd Pl,путеше́ствуете
3rd Pl,путеше́ствуют
Past M,путеше́ствовал
Past F,путеше́ствовала
Past N,путеше́ствовало
Past PL,путеше́ствовали
Imp S,путеше́ствуй
Imp PL,путеше́ствуйте
