Infinitive,пусти́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пусти́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пусти́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,пущу́сь
2nd Sing,пу́стишься
3rd Sing,пу́стится
1st Pl,пу́стимся
2nd Pl,пу́ститесь
3rd Pl,пу́стятся
Past M,пусти́лся
Past F,пусти́лась
Past N,пусти́лось
Past PL,пусти́лись
Imp S,пусти́сь
Imp PL,пусти́тесь
