Infinitive,пуга́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пуга́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пуга́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пуга́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пуга́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пуга́юсь
2nd Sing,пуга́ешься
3rd Sing,пуга́ется
1st Pl,пуга́емся
2nd Pl,пуга́етесь
3rd Pl,пуга́ются
Past M,пуга́лся
Past F,пуга́лась
Past N,пуга́лось
Past PL,пуга́лись
Imp S,пуга́йся
Imp PL,пуга́йтесь
