Infinitive,функциони́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,функциони́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,функциони́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,функциони́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,функциони́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,функциони́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,функциони́рую
2nd Sing,функциони́руешь
3rd Sing,функциони́рует
1st Pl,функциони́руем
2nd Pl,функциони́руете
3rd Pl,функциони́руют
Past M,функциони́ровал
Past F,функциони́ровала
Past N,функциони́ровало
Past PL,функциони́ровали
Imp S,функциони́руй
Imp PL,функциони́руйте
