Infinitive,огорчи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,огорчи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,огорчённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,огорчи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,огорчи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,огорчу́
2nd Sing,огорчи́шь
3rd Sing,огорчи́т
1st Pl,огорчи́м
2nd Pl,огорчи́те
3rd Pl,огорча́т
Past M,огорчи́л
Past F,огорчи́ла
Past N,огорчи́ло
Past PL,огорчи́ли
Imp S,огорчи́
Imp PL,огорчи́те
