Infinitive,огрызну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,огрызну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,огрызну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,огрызну́сь
2nd Sing,огрызнёшься
3rd Sing,огрызнётся
1st Pl,огрызнёмся
2nd Pl,огрызнётесь
3rd Pl,огрызну́тся
Past M,огрызну́лся
Past F,огрызну́лась
Past N,огрызну́лось
Past PL,огрызну́лись
Imp S,огрызни́сь
Imp PL,огрызни́тесь
