Infinitive,оголи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оголи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оголённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оголи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оголи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оголю́
2nd Sing,оголи́шь
3rd Sing,оголи́т
1st Pl,оголи́м
2nd Pl,оголи́те
3rd Pl,оголя́т
Past M,оголи́л
Past F,оголи́ла
Past N,оголи́ло
Past PL,оголи́ли
Imp S,оголи́
Imp PL,оголи́те
