Infinitive,огради́ть
Zaliznyak Class,4b(-жд-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,огради́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ограждённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,огради́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,огради́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,огражу́
2nd Sing,огради́шь
3rd Sing,огради́т
1st Pl,огради́м
2nd Pl,огради́те
3rd Pl,оградя́т
Past M,огради́л
Past F,огради́ла
Past N,огради́ло
Past PL,огради́ли
Imp S,огради́
Imp PL,огради́те
