Infinitive,огло́хнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,огло́хший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,огло́хши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,огло́хну
2nd Sing,огло́хнешь
3rd Sing,огло́хнет
1st Pl,огло́хнем
2nd Pl,огло́хнете
3rd Pl,огло́хнут
Past M,огло́х
Past F,огло́хла
Past N,огло́хло
Past PL,огло́хли
Imp S,огло́хни
Imp PL,огло́хните
