Infinitive,огляну́ться
Zaliznyak Class,3c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,огляну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,огляну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,огляну́сь
2nd Sing,огля́нешься
3rd Sing,огля́нется
1st Pl,огля́немся
2nd Pl,огля́нетесь
3rd Pl,огля́нутся
Past M,огляну́лся
Past F,огляну́лась
Past N,огляну́лось
Past PL,огляну́лись
Imp S,огляни́сь
Imp PL,огляни́тесь
