Infinitive,ограни́чить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ограни́чивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ограни́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ограни́чив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ограни́чивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ограни́чу
2nd Sing,ограни́чишь
3rd Sing,ограни́чит
1st Pl,ограни́чим
2nd Pl,ограни́чите
3rd Pl,ограни́чат
Past M,ограни́чил
Past F,ограни́чила
Past N,ограни́чило
Past PL,ограни́чили
Imp S,ограни́чь
Imp PL,ограни́чьте
