Infinitive,ограни́чиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ограни́чивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ограни́чивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ограни́чиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ограни́чивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ограни́чиваюсь
2nd Sing,ограни́чиваешься
3rd Sing,ограни́чивается
1st Pl,ограни́чиваемся
2nd Pl,ограни́чиваетесь
3rd Pl,ограни́чиваются
Past M,ограни́чивался
Past F,ограни́чивалась
Past N,ограни́чивалось
Past PL,ограни́чивались
Imp S,ограни́чивайся
Imp PL,ограни́чивайтесь
