Infinitive,огля́дываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,огля́дывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,огля́дывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,огля́дываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,огля́дывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,огля́дываюсь
2nd Sing,огля́дываешься
3rd Sing,огля́дывается
1st Pl,огля́дываемся
2nd Pl,огля́дываетесь
3rd Pl,огля́дываются
Past M,огля́дывался
Past F,огля́дывалась
Past N,огля́дывалось
Past PL,огля́дывались
Imp S,огля́дывайся
Imp PL,огля́дывайтесь
