Infinitive,огорча́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,огорча́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,огорча́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,огорча́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,огорча́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,огорча́юсь
2nd Sing,огорча́ешься
3rd Sing,огорча́ется
1st Pl,огорча́емся
2nd Pl,огорча́етесь
3rd Pl,огорча́ются
Past M,огорча́лся
Past F,огорча́лась
Past N,огорча́лось
Past PL,огорча́лись
Imp S,огорча́йся
Imp PL,огорча́йтесь
