Infinitive,огласи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,огласи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оглашённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,огласи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,огласи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оглашу́
2nd Sing,огласи́шь
3rd Sing,огласи́т
1st Pl,огласи́м
2nd Pl,огласи́те
3rd Pl,оглася́т
Past M,огласи́л
Past F,огласи́ла
Past N,огласи́ло
Past PL,огласи́ли
Imp S,огласи́
Imp PL,огласи́те
