Infinitive,огре́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,огре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,огре́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,огре́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,огре́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,огре́ю
2nd Sing,огре́ешь
3rd Sing,огре́ет
1st Pl,огре́ем
2nd Pl,огре́ете
3rd Pl,огре́ют
Past M,огре́л
Past F,огре́ла
Past N,огре́ло
Past PL,огре́ли
Imp S,огре́й
Imp PL,огре́йте
