Infinitive,ограни́читься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ограни́чившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ограни́чившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,ограни́чусь
2nd Sing,ограни́чишься
3rd Sing,ограни́чится
1st Pl,ограни́чимся
2nd Pl,ограни́читесь
3rd Pl,ограни́чатся
Past M,ограни́чился
Past F,ограни́чилась
Past N,ограни́чилось
Past PL,ограни́чились
Imp S,ограни́чься
Imp PL,ограни́чьтесь
