Infinitive,оговори́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оговори́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оговорённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оговори́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оговори́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оговорю́
2nd Sing,оговори́шь
3rd Sing,оговори́т
1st Pl,оговори́м
2nd Pl,оговори́те
3rd Pl,оговоря́т
Past M,оговори́л
Past F,оговори́ла
Past N,оговори́ло
Past PL,оговори́ли
Imp S,оговори́
Imp PL,оговори́те
