Infinitive,огляде́ться
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,огляде́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,огляде́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,огляжу́сь
2nd Sing,огляди́шься
3rd Sing,огляди́тся
1st Pl,огляди́мся
2nd Pl,огляди́тесь
3rd Pl,оглядя́тся
Past M,огляде́лся
Past F,огляде́лась
Past N,огляде́лось
Past PL,огляде́лись
Imp S,огляди́сь
Imp PL,огляди́тесь
