Infinitive,огороди́ть
Zaliznyak Class,4c // 4b⑧
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,огороди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,огоро́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,огороди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,огороди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,огорожу́
2nd Sing,огоро́дишь
3rd Sing,огоро́дит
1st Pl,огоро́дим
2nd Pl,огоро́дите
3rd Pl,огоро́дят
Past M,огороди́л
Past F,огороди́ла
Past N,огороди́ло
Past PL,огороди́ли
Imp S,огороди́
Imp PL,огороди́те
