Infinitive,огрыза́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,огрыза́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,огрыза́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,огрыза́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,огрыза́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,огрыза́юсь
2nd Sing,огрыза́ешься
3rd Sing,огрыза́ется
1st Pl,огрыза́емся
2nd Pl,огрыза́етесь
3rd Pl,огрыза́ются
Past M,огрыза́лся
Past F,огрыза́лась
Past N,огрыза́лось
Past PL,огрыза́лись
Imp S,огрыза́йся
Imp PL,огрыза́йтесь
