Infinitive,огорчи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,огорчи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,огорчи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,огорчу́сь
2nd Sing,огорчи́шься
3rd Sing,огорчи́тся
1st Pl,огорчи́мся
2nd Pl,огорчи́тесь
3rd Pl,огорча́тся
Past M,огорчи́лся
Past F,огорчи́лась
Past N,огорчи́лось
Past PL,огорчи́лись
Imp S,огорчи́сь
Imp PL,огорчи́тесь
