Infinitive,огра́бить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,огра́бивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,огра́бленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,огра́бив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,огра́бивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,огра́блю
2nd Sing,огра́бишь
3rd Sing,огра́бит
1st Pl,огра́бим
2nd Pl,огра́бите
3rd Pl,огра́бят
Past M,огра́бил
Past F,огра́била
Past N,огра́било
Past PL,огра́били
Imp S,огра́бь
Imp PL,огра́бьте
