Infinitive,оговори́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,оговори́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оговори́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,оговорю́сь
2nd Sing,оговори́шься
3rd Sing,оговори́тся
1st Pl,оговори́мся
2nd Pl,оговори́тесь
3rd Pl,оговоря́тся
Past M,оговори́лся
Past F,оговори́лась
Past N,оговори́лось
Past PL,оговори́лись
Imp S,оговори́сь
Imp PL,оговори́тесь
