Infinitive,огляде́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,огляде́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,огляде́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,огляде́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,огляжу́
2nd Sing,огляди́шь
3rd Sing,огляди́т
1st Pl,огляди́м
2nd Pl,огляди́те
3rd Pl,оглядя́т
Past M,огляде́л
Past F,огляде́ла
Past N,огляде́ло
Past PL,огляде́ли
Imp S,огляди́
Imp PL,огляди́те
