Infinitive,огова́риваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,огова́ривающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,огова́ривавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,огова́риваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,огова́ривавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,огова́риваюсь
2nd Sing,огова́риваешься
3rd Sing,огова́ривается
1st Pl,огова́риваемся
2nd Pl,огова́риваетесь
3rd Pl,огова́риваются
Past M,огова́ривался
Past F,огова́ривалась
Past N,огова́ривалось
Past PL,огова́ривались
Imp S,огова́ривайся
Imp PL,огова́ривайтесь
