Infinitive,оглуши́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оглуши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оглушённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оглуши́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оглуши́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оглушу́
2nd Sing,оглуши́шь
3rd Sing,оглуши́т
1st Pl,оглуши́м
2nd Pl,оглуши́те
3rd Pl,оглуша́т
Past M,оглуши́л
Past F,оглуши́ла
Past N,оглуши́ло
Past PL,оглуши́ли
Imp S,оглуши́
Imp PL,оглуши́те
