Infinitive,зимова́ть
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,зиму́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зимова́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зиму́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зимова́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,зимова́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,зиму́ю
2nd Sing,зиму́ешь
3rd Sing,зиму́ет
1st Pl,зиму́ем
2nd Pl,зиму́ете
3rd Pl,зиму́ют
Past M,зимова́л
Past F,зимова́ла
Past N,зимова́ло
Past PL,зимова́ли
Imp S,зиму́й
Imp PL,зиму́йте
