Infinitive,помани́ть
Zaliznyak Class,4c[⑦]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,помани́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пома́ненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,поманённый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,помани́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,помани́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,поманю́
2nd Sing,пома́нишь
3rd Sing,пома́нит
1st Pl,пома́ним
2nd Pl,пома́ните
3rd Pl,пома́нят
Past M,помани́л
Past F,помани́ла
Past N,помани́ло
Past PL,помани́ли
Imp S,помани́
Imp PL,помани́те
