Infinitive,подве́ргнуться
Zaliznyak Class,3°a[⑤⑥]
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подве́ргшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,подве́ргнувшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подве́ргшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подве́ргнувшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подве́ргнусь
2nd Sing,подве́ргнешься
3rd Sing,подве́ргнется
1st Pl,подве́ргнемся
2nd Pl,подве́ргнетесь
3rd Pl,подве́ргнутся
Past M,подве́ргся
Past F,подве́рглась
Past N,подве́рглось
Past PL,подве́рглись
Imp S,подве́ргнись
Imp PL,подве́ргнитесь
