Infinitive,поклоня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поклоня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,поклоня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поклоня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,поклоня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поклоня́юсь
2nd Sing,поклоня́ешься
3rd Sing,поклоня́ется
1st Pl,поклоня́емся
2nd Pl,поклоня́етесь
3rd Pl,поклоня́ются
Past M,поклоня́лся
Past F,поклоня́лась
Past N,поклоня́лось
Past PL,поклоня́лись
Imp S,поклоня́йся
Imp PL,поклоня́йтесь
