Infinitive,подде́ть
Zaliznyak Class,15a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подде́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подде́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подде́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подде́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подде́ну
2nd Sing,подде́нешь
3rd Sing,подде́нет
1st Pl,подде́нем
2nd Pl,подде́нете
3rd Pl,подде́нут
Past M,подде́л
Past F,подде́ла
Past N,подде́ло
Past PL,подде́ли
Imp S,подде́нь
Imp PL,подде́ньте
