Infinitive,поцара́пать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поцара́павший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поцара́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поцара́пав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поцара́павши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поцара́паю
2nd Sing,поцара́паешь
3rd Sing,поцара́пает
1st Pl,поцара́паем
2nd Pl,поцара́паете
3rd Pl,поцара́пают
Past M,поцара́пал
Past F,поцара́пала
Past N,поцара́пало
Past PL,поцара́пали
Imp S,поцара́пай
Imp PL,поцара́пайте
