Infinitive,подви́гнуть
Zaliznyak Class,3°a[⑤]⑥
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подви́гнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подви́гнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подви́гнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подви́гнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подви́гну
2nd Sing,подви́гнешь
3rd Sing,подви́гнет
1st Pl,подви́гнем
2nd Pl,подви́гнете
3rd Pl,подви́гнут
Past M,подви́г
Past F,подви́гла
Past N,подви́гло
Past PL,подви́гли
Imp S,подви́гни
Imp PL,подви́гните
