Infinitive,повы́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,повы́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,повы́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,повы́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,повы́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,повы́шу
2nd Sing,повы́сишь
3rd Sing,повы́сит
1st Pl,повы́сим
2nd Pl,повы́сите
3rd Pl,повы́сят
Past M,повы́сил
Past F,повы́сила
Past N,повы́сило
Past PL,повы́сили
Imp S,повы́сь
Imp PL,повы́сьте
