Infinitive,поплева́ть
Zaliznyak Class,2b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поплева́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поплева́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,поплева́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,поплюю́
2nd Sing,поплюёшь
3rd Sing,поплюёт
1st Pl,поплюём
2nd Pl,поплюёте
3rd Pl,поплюю́т
Past M,поплева́л
Past F,поплева́ла
Past N,поплева́ло
Past PL,поплева́ли
Imp S,поплю́й
Imp PL,поплю́йте
