Infinitive,покры́ться
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,покры́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,покры́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,покро́юсь
2nd Sing,покро́ешься
3rd Sing,покро́ется
1st Pl,покро́емся
2nd Pl,покро́етесь
3rd Pl,покро́ются
Past M,покры́лся
Past F,покры́лась
Past N,покры́лось
Past PL,покры́лись
Imp S,покро́йся
Imp PL,покро́йтесь
