Infinitive,подтверди́ть
Zaliznyak Class,4b(-жд-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подтверди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подтверждённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подтверди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подтверди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подтвержу́
2nd Sing,подтверди́шь
3rd Sing,подтверди́т
1st Pl,подтверди́м
2nd Pl,подтверди́те
3rd Pl,подтвердя́т
Past M,подтверди́л
Past F,подтверди́ла
Past N,подтверди́ло
Past PL,подтверди́ли
Imp S,подтверди́
Imp PL,подтверди́те
