Infinitive,постесня́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,постесня́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,постесня́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,постесня́юсь
2nd Sing,постесня́ешься
3rd Sing,постесня́ется
1st Pl,постесня́емся
2nd Pl,постесня́етесь
3rd Pl,постесня́ются
Past M,постесня́лся
Past F,постесня́лась
Past N,постесня́лось
Past PL,постесня́лись
Imp S,постесня́йся
Imp PL,постесня́йтесь
