Infinitive,подтащи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подтащи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подта́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подтащи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подтащи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подтащу́
2nd Sing,подта́щишь
3rd Sing,подта́щит
1st Pl,подта́щим
2nd Pl,подта́щите
3rd Pl,подта́щат
Past M,подтащи́л
Past F,подтащи́ла
Past N,подтащи́ло
Past PL,подтащи́ли
Imp S,подтащи́
Imp PL,подтащи́те
