Infinitive,полыха́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,полыха́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,полыха́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,полыха́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,полыха́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,полыха́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,полыха́ю
2nd Sing,полыха́ешь
3rd Sing,полыха́ет
1st Pl,полыха́ем
2nd Pl,полыха́ете
3rd Pl,полыха́ют
Past M,полыха́л
Past F,полыха́ла
Past N,полыха́ло
Past PL,полыха́ли
Imp S,полыха́й
Imp PL,полыха́йте
