Infinitive,покачну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,покачну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,покачну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,покачну́сь
2nd Sing,покачнёшься
3rd Sing,покачнётся
1st Pl,покачнёмся
2nd Pl,покачнётесь
3rd Pl,покачну́тся
Past M,покачну́лся
Past F,покачну́лась
Past N,покачну́лось
Past PL,покачну́лись
Imp S,покачни́сь
Imp PL,покачни́тесь
