Infinitive,поче́сть
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,почтённый
PART:0:Participle Type,passive
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,почтя́
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,почётши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,почту́
2nd Sing,почтёшь
3rd Sing,почтёт
1st Pl,почтём
2nd Pl,почтёте
3rd Pl,почту́т
Past M,почёл
Past F,почла́
Past N,почло́
Past PL,почли́
Imp S,почти́
Imp PL,почти́те
