Infinitive,по́мниться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,по́мнящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,по́мнившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,по́мнясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,по́мнившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,по́мнюсь
2nd Sing,по́мнишься
3rd Sing,по́мнится
1st Pl,по́мнимся
2nd Pl,по́мнитесь
3rd Pl,по́мнятся
Past M,по́мнился
Past F,по́мнилась
Past N,по́мнилось
Past PL,по́мнились
Imp S,по́мнись
Imp PL,по́мнитесь
